马来西亚,#genre#
TV1,https://d25tgymtnqzu8s.cloudfront.net/smil:tv1/chunklist_b4596000_slENG.m3u8
TV2,https://d25tgymtnqzu8s.cloudfront.net/smil:tv2/chunklist_b4596000_slENG.m3u8
TV3,https://api.samsam123.name.my/mediaprima_dailymotion/beta.php?channels=tv3
TV6,https://d25tgymtnqzu8s.cloudfront.net/smil:tv6/chunklist_b4596000_slENG.m3u8
DidikTV KPM,https://raw.githubusercontent.com/samleong123/tonton_dailymotion_php/main/m3u8/DidikTVKPM.m3u8
TV9,https://raw.githubusercontent.com/samleong123/tonton_dailymotion_php/main/m3u8/TV9.m3u8
8TV,https://raw.githubusercontent.com/samleong123/tonton_dailymotion_php/main/m3u8/8TV.m3u8
TV Okey,https://d25tgymtnqzu8s.cloudfront.net/smil:okey/chunklist_b4596000_slENG.m3u8
Drama Sangat,https://raw.githubusercontent.com/samleong123/tonton_dailymotion_php/main/m3u8/Drama_Sangat.m3u8
Berita RTM,https://d25tgymtnqzu8s.cloudfront.net/smil:berita/chunklist_b4596000_slENG.m3u8
Sukan RTM,https://d25tgymtnqzu8s.cloudfront.net/smil:sukan/chunklist_b4596000_slENG.m3u8
TVS HD,https://agsplayback01.astro.com.my:443/CH1/master_AGS_TVS_04.m3u8

Astro Prima,http://50.7.220.74:8278/Prima/playlist.m3u8?tid=m02000000000016192913&ct=17958&tsum=7c7f40ea3d204e5a683354afd932a406
Astro Ria,http://50.7.220.74:8278/Ria/playlist.m3u8?tid=m02000000000016577258&ct=17958&tsum=538739a0520a004cfcf115fef17fe8cc
Astro Warna,http://50.7.220.74:8278/Warna/playlist.m3u8?tid=m02000000000017487628&ct=17958&tsum=e9dc2c41615aa9b33c04bd71cfc005c9
Astro欢喜,http://50.7.220.74:8278/Huahee/playlist.m3u8?tid=m02000000000018660079&ct=17957&tsum=5ce7429a79a9a892208c316c2a8133ee
Astro双星,http://50.7.220.74:8278/Shuangxing/playlist.m3u8?tid=m02000000000010638087&ct=17957&tsum=16035284df542c2d54efaee5e47bc535

TV1,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20402
DidikTV KPM,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20405 
8TV,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20406 
TVS,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20519
TV Okey,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21064  
Awani,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20467 
Bernama,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20399 
AEC HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20621 
Astro全佳,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20408 
Astro欢喜,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20411 
Astro小太阳,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20401
Astro爱奇艺,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20469
Astro华丽台|TVB Jade,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20653 
GO Shop,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20412 
AOD 311,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20633 
AOD 352,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21007 
TVB 星河,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20114 
TVB Classic,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21061
CTI Asia,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21025 
TVBS News,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20103
TVBS Asia,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21063
Citra,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20631
Warna HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21067 
Ria HD，http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20629 
Prima HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20477
Oasis HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20471
Naura,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20474 
Astro Aura HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21034 
Boo HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20420  
TVN(MY),http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20508
tvN Movies,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21083 
KPlus HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21046 
KBS World HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21044
CCTV4,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20006 
TLC HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21057 
LIFETIME,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20527
HGTV HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21039
CGTN,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20428
Food Network HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21037 
HBO FHD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21038 
HBO HITS HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c10053  
HITS Movies HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21070 
Cinemax,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21020 
AXN HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21013
Sky News HD，http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c2008
CNN HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21023
BBC Lifestyle,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c50089  
PRIMETIME,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20522
Nickelodeon,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21049
Boomerang,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20480 
Dreamworks,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20576 
National Geographic,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21089 
Discovery Science HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21026 
Discovery Asia,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20056 
History HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20074
Animal Planet HD，http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21003   
Super Sport HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20414 
Super Sport 2 HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20415 
Super Sport 3 HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20416
Super Sport 4 HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20417 
Super Sport 5 HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20561
Arena HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20422 
SPOTV,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c20563 
Eurosport HD,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21036
bEIN Sports MAX,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21014  
beIN Sports,http://123.253.32.125:9995/livestream/api/v1/long?channel_id=c21015 

ONE HD,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/158349
Arirang,http://amdlive-ch02.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang,http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b656000_sleng.m3u8
KBS World,https://vips-livecdn.fptplay.net/hda3/kbs_vhls.smil/chunklist_b5000000.m3u8
KBS World,https://livecdn.fptplay.net/sdb/kbs_hls.smil/chunklist_b2500000.m3u8
KBS World,https://livecdn.fptplay.net/sdb/kbs_hls.smil/playlist.m3u8
One HD,http://210.210.155.35/uq2663/h/h143/02.m3u8
tvN,http://50.7.220.74:8278/TVN/playlist.m3u8?tid=m02000000000010188546&ct=17958&tsum=e7c5d12156cafc6f7dff6e7c23e1e475
Korea drama,http://203.77.246.50:5000/udp/239.1.1.76:5000
KBS World,http://103.105.213.251:8443/live/FTDp1oajlIHjg_aJ5pVuzA/1655973519/65.m3u8
TVN movies,http://210.210.155.35/dr9445/h/h21/index.m3u8
TVN movies,http://playlist.urfan.web.id/dr9445/h/h21/01.m3u8
K+,http://210.210.155.35/uq2663/h/h08/index.m3u8

Astro Prima,https://stream.zeehanzgadget.com/prima
Astro Ria,https://stream.zeehanzgadget.com/ria
Astro Warna,https://stream.zeehanzgadget.com/warna
Astro Citra,https://stream.zeehanzgadget.com/citra
Oasis HD,https://stream.zeehanzgadget.com/oasis
Naura,https://stream.zeehanzgadget.com/naura
Astro Aura HD,https://stream.zeehanzgadget.com/aura
Boo HD,https://stream.zeehanzgadget.com/boo
AEC HD,https://stream.zeehanzgadget.com/aec
Astro欢喜,https://stream.zeehanzgadget.com/huaheedai
Astro双星,https://stream.zeehanzgadget.com/shuangxing
Astro全佳 HD,https://stream.zeehanzgadget.com/quanjia
Astro爱奇艺,https://stream.zeehanzgadget.com/iqiyi
Astro华丽台|TVB Jade,https://stream.zeehanzgadget.com/tvbjade
TVB 星河,https://stream.zeehanzgadget.com/tvbxinghe
Awani,https://stream.zeehanzgadget.com/awani
KBS World HD,https://stream.zeehanzgadget.com/kbsworld
KPlus HD,https://stream.zeehanzgadget.com/kplus



港澳台,#genre#

中视新闻,http://50.7.220.74:8278/zhongshinews_twn/playlist.m3u8?tid=MAAA4459856044598560&ct=19193&tsum=1b7bdea69c00cd48e31f13442c75c376
台视新闻,http://50.7.220.74:8278/ttvnews_twn/playlist.m3u8?tid=MD9D1039476110394761&ct=19193&tsum=9f33349842788bfb7b0e90e93f7bf02c
TVBS新闻,http://50.7.220.74:8278/tvbs_n/playlist.m3u8?tid=MC3C9358473393584733&ct=19193&tsum=38970ab977b9e318cbead37db4134eb8
东森新闻LIVE,http://50.7.220.74:8278/ettvnews/playlist.m3u8?tid=m208c21bf386611408694&ct=17874&tsum=d1b4de373c886cd8015974fa8c5d6d12
年代新闻,http://50.7.220.74:8278/niandainews_twn/playlist.m3u8?tid=m062d2322888417909285&ct=17874&tsum=da6e0908f8df0e85b37f9d93167b9fcd
非凡新闻,http://50.7.220.74:8278/feifannews_twn/playlist.m3u8?tid=m050e7aad65f614336734&ct=17874&tsum=4ea1b829d195ac69a6c2ca51b21ae378
中视,http://50.7.220.74:8278/zhongshihd_twn/playlist.m3u8?tid=MB4B2404962324049623&ct=19193&tsum=671b112a447ed494ae6219c14d0fab93
民视,http://50.7.220.74:8278/ftvhd_taiwan/playlist.m3u8?tid=MF8F2804739628047396&ct=19193&tsum=73a49379fed74f8fc39359fcf589a9d8
民视TW,http://50.7.220.74:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD6045594360455943&ct=19193&tsum=0de4f998b15ba8f2ecdaa107d866212a
